@relation datatrain_digit

@attribute pixel:x=0:y=0 numeric
@attribute pixel:x=1:y=0 numeric
@attribute pixel:x=2:y=0 numeric
@attribute pixel:x=3:y=0 numeric
@attribute pixel:x=4:y=0 numeric
@attribute pixel:x=5:y=0 numeric
@attribute pixel:x=6:y=0 numeric
@attribute pixel:x=7:y=0 numeric
@attribute pixel:x=8:y=0 numeric
@attribute pixel:x=9:y=0 numeric
@attribute pixel:x=10:y=0 numeric
@attribute pixel:x=11:y=0 numeric
@attribute pixel:x=12:y=0 numeric
@attribute pixel:x=13:y=0 numeric
@attribute pixel:x=14:y=0 numeric
@attribute pixel:x=15:y=0 numeric
@attribute pixel:x=0:y=1 numeric
@attribute pixel:x=1:y=1 numeric
@attribute pixel:x=2:y=1 numeric
@attribute pixel:x=3:y=1 numeric
@attribute pixel:x=4:y=1 numeric
@attribute pixel:x=5:y=1 numeric
@attribute pixel:x=6:y=1 numeric
@attribute pixel:x=7:y=1 numeric
@attribute pixel:x=8:y=1 numeric
@attribute pixel:x=9:y=1 numeric
@attribute pixel:x=10:y=1 numeric
@attribute pixel:x=11:y=1 numeric
@attribute pixel:x=12:y=1 numeric
@attribute pixel:x=13:y=1 numeric
@attribute pixel:x=14:y=1 numeric
@attribute pixel:x=15:y=1 numeric
@attribute pixel:x=0:y=2 numeric
@attribute pixel:x=1:y=2 numeric
@attribute pixel:x=2:y=2 numeric
@attribute pixel:x=3:y=2 numeric
@attribute pixel:x=4:y=2 numeric
@attribute pixel:x=5:y=2 numeric
@attribute pixel:x=6:y=2 numeric
@attribute pixel:x=7:y=2 numeric
@attribute pixel:x=8:y=2 numeric
@attribute pixel:x=9:y=2 numeric
@attribute pixel:x=10:y=2 numeric
@attribute pixel:x=11:y=2 numeric
@attribute pixel:x=12:y=2 numeric
@attribute pixel:x=13:y=2 numeric
@attribute pixel:x=14:y=2 numeric
@attribute pixel:x=15:y=2 numeric
@attribute pixel:x=0:y=3 numeric
@attribute pixel:x=1:y=3 numeric
@attribute pixel:x=2:y=3 numeric
@attribute pixel:x=3:y=3 numeric
@attribute pixel:x=4:y=3 numeric
@attribute pixel:x=5:y=3 numeric
@attribute pixel:x=6:y=3 numeric
@attribute pixel:x=7:y=3 numeric
@attribute pixel:x=8:y=3 numeric
@attribute pixel:x=9:y=3 numeric
@attribute pixel:x=10:y=3 numeric
@attribute pixel:x=11:y=3 numeric
@attribute pixel:x=12:y=3 numeric
@attribute pixel:x=13:y=3 numeric
@attribute pixel:x=14:y=3 numeric
@attribute pixel:x=15:y=3 numeric
@attribute pixel:x=0:y=4 numeric
@attribute pixel:x=1:y=4 numeric
@attribute pixel:x=2:y=4 numeric
@attribute pixel:x=3:y=4 numeric
@attribute pixel:x=4:y=4 numeric
@attribute pixel:x=5:y=4 numeric
@attribute pixel:x=6:y=4 numeric
@attribute pixel:x=7:y=4 numeric
@attribute pixel:x=8:y=4 numeric
@attribute pixel:x=9:y=4 numeric
@attribute pixel:x=10:y=4 numeric
@attribute pixel:x=11:y=4 numeric
@attribute pixel:x=12:y=4 numeric
@attribute pixel:x=13:y=4 numeric
@attribute pixel:x=14:y=4 numeric
@attribute pixel:x=15:y=4 numeric
@attribute pixel:x=0:y=5 numeric
@attribute pixel:x=1:y=5 numeric
@attribute pixel:x=2:y=5 numeric
@attribute pixel:x=3:y=5 numeric
@attribute pixel:x=4:y=5 numeric
@attribute pixel:x=5:y=5 numeric
@attribute pixel:x=6:y=5 numeric
@attribute pixel:x=7:y=5 numeric
@attribute pixel:x=8:y=5 numeric
@attribute pixel:x=9:y=5 numeric
@attribute pixel:x=10:y=5 numeric
@attribute pixel:x=11:y=5 numeric
@attribute pixel:x=12:y=5 numeric
@attribute pixel:x=13:y=5 numeric
@attribute pixel:x=14:y=5 numeric
@attribute pixel:x=15:y=5 numeric
@attribute pixel:x=0:y=6 numeric
@attribute pixel:x=1:y=6 numeric
@attribute pixel:x=2:y=6 numeric
@attribute pixel:x=3:y=6 numeric
@attribute pixel:x=4:y=6 numeric
@attribute pixel:x=5:y=6 numeric
@attribute pixel:x=6:y=6 numeric
@attribute pixel:x=7:y=6 numeric
@attribute pixel:x=8:y=6 numeric
@attribute pixel:x=9:y=6 numeric
@attribute pixel:x=10:y=6 numeric
@attribute pixel:x=11:y=6 numeric
@attribute pixel:x=12:y=6 numeric
@attribute pixel:x=13:y=6 numeric
@attribute pixel:x=14:y=6 numeric
@attribute pixel:x=15:y=6 numeric
@attribute pixel:x=0:y=7 numeric
@attribute pixel:x=1:y=7 numeric
@attribute pixel:x=2:y=7 numeric
@attribute pixel:x=3:y=7 numeric
@attribute pixel:x=4:y=7 numeric
@attribute pixel:x=5:y=7 numeric
@attribute pixel:x=6:y=7 numeric
@attribute pixel:x=7:y=7 numeric
@attribute pixel:x=8:y=7 numeric
@attribute pixel:x=9:y=7 numeric
@attribute pixel:x=10:y=7 numeric
@attribute pixel:x=11:y=7 numeric
@attribute pixel:x=12:y=7 numeric
@attribute pixel:x=13:y=7 numeric
@attribute pixel:x=14:y=7 numeric
@attribute pixel:x=15:y=7 numeric
@attribute pixel:x=0:y=8 numeric
@attribute pixel:x=1:y=8 numeric
@attribute pixel:x=2:y=8 numeric
@attribute pixel:x=3:y=8 numeric
@attribute pixel:x=4:y=8 numeric
@attribute pixel:x=5:y=8 numeric
@attribute pixel:x=6:y=8 numeric
@attribute pixel:x=7:y=8 numeric
@attribute pixel:x=8:y=8 numeric
@attribute pixel:x=9:y=8 numeric
@attribute pixel:x=10:y=8 numeric
@attribute pixel:x=11:y=8 numeric
@attribute pixel:x=12:y=8 numeric
@attribute pixel:x=13:y=8 numeric
@attribute pixel:x=14:y=8 numeric
@attribute pixel:x=15:y=8 numeric
@attribute pixel:x=0:y=9 numeric
@attribute pixel:x=1:y=9 numeric
@attribute pixel:x=2:y=9 numeric
@attribute pixel:x=3:y=9 numeric
@attribute pixel:x=4:y=9 numeric
@attribute pixel:x=5:y=9 numeric
@attribute pixel:x=6:y=9 numeric
@attribute pixel:x=7:y=9 numeric
@attribute pixel:x=8:y=9 numeric
@attribute pixel:x=9:y=9 numeric
@attribute pixel:x=10:y=9 numeric
@attribute pixel:x=11:y=9 numeric
@attribute pixel:x=12:y=9 numeric
@attribute pixel:x=13:y=9 numeric
@attribute pixel:x=14:y=9 numeric
@attribute pixel:x=15:y=9 numeric
@attribute pixel:x=0:y=10 numeric
@attribute pixel:x=1:y=10 numeric
@attribute pixel:x=2:y=10 numeric
@attribute pixel:x=3:y=10 numeric
@attribute pixel:x=4:y=10 numeric
@attribute pixel:x=5:y=10 numeric
@attribute pixel:x=6:y=10 numeric
@attribute pixel:x=7:y=10 numeric
@attribute pixel:x=8:y=10 numeric
@attribute pixel:x=9:y=10 numeric
@attribute pixel:x=10:y=10 numeric
@attribute pixel:x=11:y=10 numeric
@attribute pixel:x=12:y=10 numeric
@attribute pixel:x=13:y=10 numeric
@attribute pixel:x=14:y=10 numeric
@attribute pixel:x=15:y=10 numeric
@attribute pixel:x=0:y=11 numeric
@attribute pixel:x=1:y=11 numeric
@attribute pixel:x=2:y=11 numeric
@attribute pixel:x=3:y=11 numeric
@attribute pixel:x=4:y=11 numeric
@attribute pixel:x=5:y=11 numeric
@attribute pixel:x=6:y=11 numeric
@attribute pixel:x=7:y=11 numeric
@attribute pixel:x=8:y=11 numeric
@attribute pixel:x=9:y=11 numeric
@attribute pixel:x=10:y=11 numeric
@attribute pixel:x=11:y=11 numeric
@attribute pixel:x=12:y=11 numeric
@attribute pixel:x=13:y=11 numeric
@attribute pixel:x=14:y=11 numeric
@attribute pixel:x=15:y=11 numeric
@attribute pixel:x=0:y=12 numeric
@attribute pixel:x=1:y=12 numeric
@attribute pixel:x=2:y=12 numeric
@attribute pixel:x=3:y=12 numeric
@attribute pixel:x=4:y=12 numeric
@attribute pixel:x=5:y=12 numeric
@attribute pixel:x=6:y=12 numeric
@attribute pixel:x=7:y=12 numeric
@attribute pixel:x=8:y=12 numeric
@attribute pixel:x=9:y=12 numeric
@attribute pixel:x=10:y=12 numeric
@attribute pixel:x=11:y=12 numeric
@attribute pixel:x=12:y=12 numeric
@attribute pixel:x=13:y=12 numeric
@attribute pixel:x=14:y=12 numeric
@attribute pixel:x=15:y=12 numeric
@attribute pixel:x=0:y=13 numeric
@attribute pixel:x=1:y=13 numeric
@attribute pixel:x=2:y=13 numeric
@attribute pixel:x=3:y=13 numeric
@attribute pixel:x=4:y=13 numeric
@attribute pixel:x=5:y=13 numeric
@attribute pixel:x=6:y=13 numeric
@attribute pixel:x=7:y=13 numeric
@attribute pixel:x=8:y=13 numeric
@attribute pixel:x=9:y=13 numeric
@attribute pixel:x=10:y=13 numeric
@attribute pixel:x=11:y=13 numeric
@attribute pixel:x=12:y=13 numeric
@attribute pixel:x=13:y=13 numeric
@attribute pixel:x=14:y=13 numeric
@attribute pixel:x=15:y=13 numeric
@attribute pixel:x=0:y=14 numeric
@attribute pixel:x=1:y=14 numeric
@attribute pixel:x=2:y=14 numeric
@attribute pixel:x=3:y=14 numeric
@attribute pixel:x=4:y=14 numeric
@attribute pixel:x=5:y=14 numeric
@attribute pixel:x=6:y=14 numeric
@attribute pixel:x=7:y=14 numeric
@attribute pixel:x=8:y=14 numeric
@attribute pixel:x=9:y=14 numeric
@attribute pixel:x=10:y=14 numeric
@attribute pixel:x=11:y=14 numeric
@attribute pixel:x=12:y=14 numeric
@attribute pixel:x=13:y=14 numeric
@attribute pixel:x=14:y=14 numeric
@attribute pixel:x=15:y=14 numeric
@attribute pixel:x=0:y=15 numeric
@attribute pixel:x=1:y=15 numeric
@attribute pixel:x=2:y=15 numeric
@attribute pixel:x=3:y=15 numeric
@attribute pixel:x=4:y=15 numeric
@attribute pixel:x=5:y=15 numeric
@attribute pixel:x=6:y=15 numeric
@attribute pixel:x=7:y=15 numeric
@attribute pixel:x=8:y=15 numeric
@attribute pixel:x=9:y=15 numeric
@attribute pixel:x=10:y=15 numeric
@attribute pixel:x=11:y=15 numeric
@attribute pixel:x=12:y=15 numeric
@attribute pixel:x=13:y=15 numeric
@attribute pixel:x=14:y=15 numeric
@attribute pixel:x=15:y=15 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
% ARFF data order for 0 from left-to-right/top-to-bottom
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
